NEIGHBORHOOD,GENDER,POPULATION
Tanjakot,female,3016
Tanjakot,male,2960
Chulachuli,female,11276
Chulachuli,male,10137
Deumai,female,17086
Deumai,male,15841
Ilam,female,25141
Ilam,male,24189
Mai,female,17111
Mai,male,16099
Maijogmai,female,10667
Maijogmai,male,10397
Mangsebung,female,9455
Mangsebung,male,9079
Phakphokthum,female,11507
Phakphokthum,male,10112
Rong,female,9746
Rong,male,9389
Sandakpur,female,8275
Sandakpur,male,7790
Suryodaya,female,28864
Suryodaya,male,28093
Barekot,female,8962
Barekot,male,9121
Bheri,female,17082
Bheri,male,17631
Chhedagad,female,17941
Chhedagad,male,17354
Junichande,female,10993
Junichande,male,10740
Kushe,female,10214
Kushe,male,10407
Nalgad,female,12849
Nalgad,male,12741
Shivalaya,female,7726
Shivalaya,male,7543
Arjundhara,female,31791
Arjundhara,male,28689
Bahradashi,female,17945
Bahradashi,male,15729
Bhadrapur,female,34648
Bhadrapur,male,31981
Birtamod,female,42280
Birtamod,male,40312
Buddhashanti,female,21943
Buddhashanti,male,19681
Damak,female,39919
Damak,male,35824
Gauradaha,female,28097
Gauradaha,male,24952
Gaurigunj,female,17096
Gaurigunj,male,15989
Haldibari,female,15613
Haldibari,male,13338
Jhapa,female,17898
Jhapa,male,16724
Kachankawal,female,20832
Kachankawal,male,18761
Kamal,female,24093
Kamal,male,20586
Kankai,female,21665
Kankai,male,18629
Mechinagar,female,58849
Mechinagar,male,54148
Shivasatakshi,female,34885
Shivasatakshi,male,29753
Chandannath,female,9766
Chandannath,male,10605
Guthichaur,female,5003
Guthichaur,male,4917
Hima,female,5330
Hima,male,5223
Kanakasundari,female,6626
Kanakasundari,male,6590
Patarasi,female,7315
Patarasi,male,7293
Sinja,female,5951
Sinja,male,6057
Tatopani,female,7291
Tatopani,male,7347
Tila,female,6741
Tila,male,6866
Bardgoriya,female,17030
Bardgoriya,male,15653
Bhajani,female,26141
Bhajani,male,25987
Chure,female,9656
Chure,male,9501
Dhangadhi Sub-Metropolitan City,female,74558
Dhangadhi Sub-Metropolitan City,male,75260
Gauriganga,female,29666
Gauriganga,male,28620
Ghodaghodi,female,38761
Ghodaghodi,male,37204
Godawari,female,41521
Godawari,male,38165
Janaki,female,25584
Janaki,male,22956
Joshipur,female,18625
Joshipur,male,17834
Kailari,female,24496
Kailari,male,23491
Lamkichuha,female,40167
Lamkichuha,male,35840
Mohanyal,female,11139
Mohanyal,male,10914
Tikapur,female,39948
Tikapur,male,36992
Khandachakra,female,9970
